datetime,generationPower,year,month,day,hour,minute,dayofweek,dayofyear,time_idx,date
2024-06-01 06:10:00,28775.53,2024,6,1,6,10,5,153,500.0,2024-06-01
2024-06-01 06:15:00,28054.71,2024,6,1,6,15,5,153,505.0,2024-06-01
2024-06-01 06:20:00,21012.14,2024,6,1,6,20,5,153,510.0,2024-06-01
2024-06-01 06:25:00,16583.46,2024,6,1,6,25,5,153,515.0,2024-06-01
2024-06-01 06:30:00,20227.0,2024,6,1,6,30,5,153,520.0,2024-06-01
2024-06-01 06:35:00,20174.8,2024,6,1,6,35,5,153,525.0,2024-06-01
2024-06-01 06:40:00,24643.940000000002,2024,6,1,6,40,5,153,530.0,2024-06-01
2024-06-01 06:45:00,24262.57,2024,6,1,6,45,5,153,535.0,2024-06-01
2024-06-01 06:50:00,17206.260000000002,2024,6,1,6,50,5,153,540.0,2024-06-01
2024-06-01 06:55:00,13429.57,2024,6,1,6,55,5,153,545.0,2024-06-01
2024-06-01 07:00:00,12789.810000000001,2024,6,1,7,0,5,153,550.0,2024-06-01
2024-06-01 07:05:00,15674.48,2024,6,1,7,5,5,153,555.0,2024-06-01
2024-06-01 07:10:00,20048.48,2024,6,1,7,10,5,153,560.0,2024-06-01
2024-06-01 07:15:00,15831.939999999999,2024,6,1,7,15,5,153,565.0,2024-06-01
2024-06-01 07:20:00,13510.46,2024,6,1,7,20,5,153,570.0,2024-06-01
2024-06-01 07:25:00,9226.49,2024,6,1,7,25,5,153,575.0,2024-06-01
2024-06-01 07:30:00,8385.310000000001,2024,6,1,7,30,5,153,580.0,2024-06-01
2024-06-01 07:35:00,8524.810000000001,2024,6,1,7,35,5,153,585.0,2024-06-01
2024-06-01 07:40:00,8503.529999999999,2024,6,1,7,40,5,153,590.0,2024-06-01
2024-06-01 07:45:00,8979.0,2024,6,1,7,45,5,153,595.0,2024-06-01
2024-06-01 07:50:00,9291.91,2024,6,1,7,50,5,153,600.0,2024-06-01
2024-06-01 07:55:00,9492.8,2024,6,1,7,55,5,153,605.0,2024-06-01
2024-06-01 08:00:00,9995.71,2024,6,1,8,0,5,153,610.0,2024-06-01
2024-06-01 08:05:00,11233.65,2024,6,1,8,5,5,153,615.0,2024-06-01
2024-06-01 08:10:00,11768.130000000001,2024,6,1,8,10,5,153,620.0,2024-06-01
2024-06-01 08:15:00,15871.279999999999,2024,6,1,8,15,5,153,625.0,2024-06-01
2024-06-01 08:20:00,44847.79,2024,6,1,8,20,5,153,630.0,2024-06-01
2024-06-01 08:25:00,21461.41,2024,6,1,8,25,5,153,635.0,2024-06-01
2024-06-01 08:30:00,14420.1,2024,6,1,8,30,5,153,640.0,2024-06-01
2024-06-01 08:35:00,12420.380000000001,2024,6,1,8,35,5,153,645.0,2024-06-01
2024-06-01 08:40:00,10132.67,2024,6,1,8,40,5,153,650.0,2024-06-01
2024-06-01 08:45:00,8516.35,2024,6,1,8,45,5,153,655.0,2024-06-01
2024-06-01 08:50:00,7587.12,2024,6,1,8,50,5,153,660.0,2024-06-01
2024-06-01 08:55:00,8078.34,2024,6,1,8,55,5,153,665.0,2024-06-01
2024-06-01 09:00:00,6506.38,2024,6,1,9,0,5,153,670.0,2024-06-01
2024-06-01 09:05:00,6034.469999999999,2024,6,1,9,5,5,153,675.0,2024-06-01
2024-06-01 09:10:00,8003.41,2024,6,1,9,10,5,153,680.0,2024-06-01
2024-06-01 09:15:00,8946.76,2024,6,1,9,15,5,153,685.0,2024-06-01
2024-06-01 09:20:00,9215.619999999999,2024,6,1,9,20,5,153,690.0,2024-06-01
2024-06-01 09:25:00,7452.66,2024,6,1,9,25,5,153,695.0,2024-06-01
2024-06-01 09:30:00,5203.9,2024,6,1,9,30,5,153,700.0,2024-06-01
2024-06-01 09:35:00,4899.1900000000005,2024,6,1,9,35,5,153,705.0,2024-06-01
2024-06-01 09:40:00,4753.17,2024,6,1,9,40,5,153,710.0,2024-06-01
2024-06-01 09:45:00,5268.219999999999,2024,6,1,9,45,5,153,715.0,2024-06-01
2024-06-01 09:50:00,4897.5,2024,6,1,9,50,5,153,720.0,2024-06-01
2024-06-01 09:55:00,5422.139999999999,2024,6,1,9,55,5,153,725.0,2024-06-01
2024-06-01 10:00:00,5109.18,2024,6,1,10,0,5,153,730.0,2024-06-01
2024-06-01 10:05:00,4045.1,2024,6,1,10,5,5,153,735.0,2024-06-01
2024-06-01 10:10:00,3606.28,2024,6,1,10,10,5,153,740.0,2024-06-01
